"created_at","tweet.text","state"
"Mon May 18 20:21:30 +0000 2020","@ZuzuOnFire @StevePoliti Combine that with more recent studies like this and you are talking about lapping  everyth… https://t.co/bfy0aXaAbi","New Jersey"
"Mon May 18 20:21:47 +0000 2020","And huge shout out to the 100,000 of you faking your deaths. #TeamEffort","Colorado"
"Mon May 18 20:21:56 +0000 2020","This is for your pleasure 🎻🎸🎺🎷🥁🎤. be and stay blessed. Be safe in times of COVID-19.  – ♫Water to Drink (Agua de Be… https://t.co/quMlw7L2rG","California"
"Mon May 18 20:22:07 +0000 2020","@DragoCordis @PaulaKayMartin @thinkstrategy5 @lordbuckly @NPR https://t.co/oM3wbslCbV.   Dr Birx says the same. I w… https://t.co/DS9IhTQVuO","Indiana"
"Mon May 18 20:22:13 +0000 2020","Andrew Cuomo and other Blue State governors that have placed covid-19 patients in nursing homes should be prosecute… https://t.co/9CCPa5Bxaz","North Carolina"
"Mon May 18 20:22:32 +0000 2020","@MarkDavis I have a theory: Trump’s ongoing COVID pressers are excellent because it keeps him and his answers sharp… https://t.co/jmQ4xdE0CB","Texas"
"Mon May 18 20:22:35 +0000 2020","I’m in the mood to drive to Mississippi for the night. Just to get away. Then COVID-19 comes to mind","Louisiana"
"Mon May 18 20:22:44 +0000 2020","@notcapnamerica I was all for a COVID vaccine until Trump stuck his grimy orange thumb in the pie. He says we will… https://t.co/FPWnq0dIkl","Georgia"
"Mon May 18 20:22:54 +0000 2020","MOOD BOOTY 2020\n*Summer Shorts*\nWomen Shorts Available\nBuy 2 - Get 1 Free -Discount\n\nSizes - S- 4X\nPre Order Soon (… https://t.co/TUNKe7eYhT","Georgia"
"Mon May 18 20:23:01 +0000 2020","Australia announces bid to win back tourists after worst bushfires on record and the coronavirus pandemic.… https://t.co/LMCUlmlZQI","Georgia"
"Mon May 18 20:23:15 +0000 2020","@MsOedipaMass I did the free covid test from the city a week ago. Haven't done the antibody one.","California"
"Mon May 18 20:23:17 +0000 2020","So “a post COVID world” is going to be the new office buzzword I guess.","New Jersey"
"Mon May 18 20:23:23 +0000 2020","Interested in COVID-19 Contact Tracing?\nApply here: https://t.co/gsGiz8Wq2g","Illinois"
"Mon May 18 20:23:38 +0000 2020","Yes, how am I doing?! 🤪😅","Tennessee"
"Mon May 18 20:23:50 +0000 2020","@B52Malmet Let trump hold rallies with his idiot voters who refuse to wear masks &amp; social distance. Watch for Covid… https://t.co/lX3TU7K7Ja","California"
"Mon May 18 20:23:58 +0000 2020","The Dorr brothers are behind the lock down protests. Three pro gun activists using the lock down as a trigger point… https://t.co/4OVfEPTEUI","California"
"Mon May 18 20:24:03 +0000 2020","@jerryferrara I can’t believe it’s almost 5 years since the entourage movie came out. Besides a cure for covid-19 c… https://t.co/fy4jqypfkU","New York"
"Mon May 18 20:24:12 +0000 2020","@Quonar @cnnbrk I live in AZ. The Navajo Nation has been getting fucked by Covid with very little national attentio… https://t.co/7SjRNogKf4","Arizona"
"Mon May 18 20:24:16 +0000 2020","I'm not afraid of this damn virus, what bothers me is suffering Americans do to covid-19 or 36 million unemployed o… https://t.co/VXn90fI0MK","North Carolina"
"Mon May 18 20:24:17 +0000 2020","What a mess. #COVID \nhttps://t.co/VoUjAhlBxO","Ohio"
"Mon May 18 20:25:07 +0000 2020","Animated Booty 2020\n*Summer Shorts*\nWomen Shorts Available\nBuy 2 - Get 1 Free\n\nSizes - S- 4X\nPre Order Soon (Covid… https://t.co/6s7nAdGDvi","Georgia"
"Mon May 18 20:25:24 +0000 2020","That’s good news","Ohio"
"Mon May 18 20:25:51 +0000 2020","Excited for the team to share their findings. Should be great event!","Nebraska"
"Mon May 18 20:26:54 +0000 2020","Wtf is in this corona virus air that has my cramps, for the second month in a row, unbearably painful? 🤢😵","California"
"Mon May 18 20:26:56 +0000 2020","The ex-pharma exec leading Trump's COVID-19 vaccine program has $10 million in stock options for a company getting… https://t.co/MyDNKti9IE","Texas"
"Mon May 18 20:27:01 +0000 2020","Soft Booty 2020\n*Summer Shorts*\nWomen Shorts Available\nBuy 2 - Get 1 Free\n\nSizes - S- 4X\nPre Order Soon (Covid 19-… https://t.co/fEPnHoC5fp","Georgia"
