tweet.id,tweet.created_at,tweet.text,tweet.user.name,tweet.user.screen_name,tweet.user.location,tweet.user.id,tweet.user.followers_count,tweet.user.friends_count,tweet.user.favourites_count,tweet.user.description
1256600183569145858,2020-05-02 15:03:24,Many Mexican people believed in a change. Corruption didn’t change under the Covid 19 Mexican crisis. #Corruption… https://t.co/IKyyOzDryX,darioadame9,darioadame9,,595088858,71,183,9389,"Economist. I love economics, politics, international affairs, history, mathematics, statistics, movies, sweet bread, and coffee."
1256600178703904768,2020-05-02 15:03:23,RT @MikeyKayNYC: #COVID| phyz on the road! Jump rope is an essential. This one has weighted handles so you get a proper upper body ache on…,Edythe Foss,edythe_foss,,842050286386569216,124,122,63828,
1256600154825621504,2020-05-02 15:03:18,"RT @team_sai: Shri @AshwiniKChoubey urges everyone of you to install  #ArogyaSethu App to save you,your family &amp; Nation from #COVID.  Taggi…",Jayanth,Jayanth12729501,,1251875022471196674,9,13,66,spending time with my loved ones
1256600150014746625,2020-05-02 15:03:16,"RT @abdulla_shahid: China has yet again made timely contribution in our fight against #Covid-19. I thank State Councilor, Foreign Minister…",Shifaau,Didi0019,,559693290,228,970,3633,
1256600146286202882,2020-05-02 15:03:16,RT @aryadoctoryet: I don’t know who needs to hear this but flattening the #COVID curve does NOT reduce the area under the curve.   #pandemi…,Dr. Linda Coate,lindacoate,"Limerick, Ireland",21613119,1728,2837,10789,"Medical oncologist, researcher, patient advocate @HSELive. Ass Prof Medicine @UL_GEMS. @cancertrials_ie lung chair. #lcsm #bcsm Personal views not employers"
1256600144616681473,2020-05-02 15:03:15,"#Military | The vessels are revamped versions of the Type 094, or Jin-class, nuclear-powered #ballistic missile… https://t.co/IIj07IiVdy",Asia News,asianewsteam,"Bangkok, Thailand",992069133687840768,10030,8986,112664,Asia News is an online News platform that brings Asia to the global online audience. follow us for fastest news updates.
1256600141886369793,2020-05-02 15:03:14,RT @nddevaraj: @PanIndiaValuers @PMOIndia @nsitharaman @FinMinIndia @ianuragthakur Please defer demand of Objections to #DraftValuersBill20…,shekhar Gupta (angry middle age man),shekhargupta68,"Lucknow, India",1074682647568252929,158,163,4086,Engineer
1256600137650102273,2020-05-02 15:03:13,RT @Wyn1745: Q4040 Influenza Deaths Are Being Attributed to #COVID to Increase Fear/Panic. __ Knowledge is power. Information warfare. Q Re…,ltlgcoach,ltlgcoach,"Sugar Land, Texas",29027457,26039,25378,76699,Make America Great Again #BlueLivesMatter #CodeOfVets #WinningIsNotGettingOld #TrumpPence #BuyAmericanNotChina #NeverVoteDemocratAgain #Trump2020 #DrainTheSwamp
1256600133170593792,2020-05-02 15:03:12,"RT @Wyn1745: WOW! WTF? CDC #COVID19 Death Revision&gt; 37,308 as of May 1st, 2020. The whole Freaking #COVID thing is a Joke! They [Dems, #Chi…",reguy12,reguy12,Army Veteran,14617916,2137,3709,13577,Truth and Justice...Christian
1256600126656843778,2020-05-02 15:03:11,It’s time for the world to join together in a global effort to beat #COVID-19. @sebastiankurz will Austria step up… https://t.co/EG7hKlL1tl,Laura Chamberlain,LauraRi63015988,Skegness,1261801021,10,17,4,
1256600125155115009,2020-05-02 15:03:10,RT @Wyn1745: Q4040 Influenza Deaths Are Being Attributed to #COVID to Increase Fear/Panic. __ Knowledge is power. Information warfare. Q Re…,DEVIL,kampen_randy,,3273295998,3212,4417,3469,Man of GOD. LOVE'S FAMILY. YOU REAP WHAT YOU Sow. WILLING TO PROTECT OUR COUNTRY AT ALL COST.
1256600122705805319,2020-05-02 15:03:10,#COVID-19 Coronavirus and the Fallacy of the False Dilemma https://t.co/m1iTehLCuO,SimpleDawg,SimpleDawg,"Simpleville, SC",38411700,301,541,37591,Been rode hard and hung out wet.
1256600120373784577,2020-05-02 15:03:09,"RT @CinderellaMan2: @KLEETIS1 @RealEricCarmen They admitted some deaths are of patients not even tested, but still coded to #Covid.",Kerry Kensington,KensingtonKerry,"North Palm Beach, Florida",1539683892,3855,4844,46033,Republican Party of Palm Beach County. 🚂💨❤️🇺🇸🚂💨❤️ 🇺🇸. We are here to elect more Republicans. Preparing to win Trump 2020 #MAGA #KAG. Stop Dems Cheating
1256600113767735297,2020-05-02 15:03:08,RT @Wyn1745: Q4040 Influenza Deaths Are Being Attributed to #COVID to Increase Fear/Panic. __ Knowledge is power. Information warfare. Q Re…,Daniel Petersen,DanielP28086325,"Texas, USA",964629403295678467,4099,4420,36713,"Business owner, US Army Vet , NRA Life member, 2A , here to back President TRUMP."
1256600113704812545,2020-05-02 15:03:08,Build your Vocabulary at Lockdown &amp; Stay Safe at home. #Covid-19   Play Word Collect with me and train your brain!… https://t.co/gCotFZM89r,Tboy,harryjaysolid,"Kaduna, Nigeria",92882576,13650,15029,31229,"Quiet, simple and easy going."
1256600106364592128,2020-05-02 15:03:06,RT @BJP4Karnataka: This is how the residents of an Apartment in Namma Bengaluru honoured Dr Vijayashree who returned home after treating #C…,chetan n,chetann6,,2190604484,17,370,5838,
1256600104590508032,2020-05-02 15:03:06,RT @LegsMatter: Coping with anxiety worry during #COVID-19 - we have put together some ideas on how to cope during these uncertain times ht…,Leg ulcer nurse,leg_nurse,,1157288437365522438,39,39,73,Getting people back into their favourite shoes  Fan of Maurice Sendak Profile illustration by Maurice Sendak (1954) I'll be you and you be me' Ruth Krauss
1256600098601160704,2020-05-02 15:03:04,RT @Thom_Langer: Few days ago we closed our #COVID ICU. These months have been tough.  Together we rejoiced for every patient that recovere…,Glenn Hernandez,glennguru1,,730916815996649472,1964,343,9359,"Me interesa la poesía, el rock, la novela negra, la medicina intensiva y el shock séptico"
1256600098068262913,2020-05-02 15:03:04,"Just read a thread where a t.Rumper/CovidDenier said that only people over 80 yrs old die from #Covid.Ok,they do ma… https://t.co/IMXi5EG4U7",@luxtempo,luxtempo,Not Where I'm Supposed To Be,12668512,1518,2554,35235,"♉️LowBrow artist♫percussionista,ex-Nihilist/tyro-Buddhist☸️liberal insomniac #LymeWarrior #NBA #Resist #BlackLivesMatter Brave Love or None At All. Me llamo Kim"
1256600096524943360,2020-05-02 15:03:04,It’s time for the world to join together in a global effort to beat #COVID-19. @sebastiankurz will Austria step up… https://t.co/oxPA5s0sLJ,Katie,JerseyGirlKate,New Jersey,30594433,155,265,173,My daughter is @MiaNoella and my sister is @_KoriAlix FOLLOW THEM!!!
1256600092829720577,2020-05-02 15:03:03,RT @himantabiswa: Assam borders with all NE states except Sikkim to open from tomorrow to ease the return of stranded people. No pass is re…,Nation against Corona,lonermonkeyy,"Riyadh, Kingdom of Saudi Arabi",4818143933,219,393,12172,"Cat Lover, Automobile Designer, F488 Design Crew"
1256600086882037761,2020-05-02 15:03:01,RT @DavidHarrisAJC: An Illinois resident protests #COVID restrictions w/ the 3 words at #Auschwitz entrance—Arbeit Macht Frei.  Those words…,Esther Knows,KnowsEsther,"California, USA",1239237785422196741,2,85,204,Dynamite in anxiety
1256600082075594758,2020-05-02 15:03:00,@EckerleIsabella @ChariteBerlin @BAG_OFSP_UFSP @RTSinfo &gt;/&lt; 10 years is relevant because statistics worldwide tell… https://t.co/vfdYy4lQlf,Elisabete Joaquim,elishbajoachim,Geneva,21490291,746,484,390,
1256600080775147521,2020-05-02 15:03:00,Interesting read here and good observations on the current #COVID #QuaratineLife for people with mental health and/… https://t.co/Oja412D38A,Joey Parker,NomadicNewsman,"Missouri, USA",2260702452,1694,385,9231,"Journalist, former TV news anchor/reporter, voyager, adventurer, epicurean, friend of Bengal cats and all animals"
1256600078405570565,2020-05-02 15:02:59,"RT @corporal_frank: If GB grows it, buy it  if GB catches it, buy it  if GB makes it, buy it  If It’s reared in GB, buy it  employ British…",George Evans,Wirralpix,"Wirral, Merseyside, UK",303348279,557,122,74703,Retired firefighter and photographer selling fine art prints from the Wirral Peninsula.
1256600076085940225,2020-05-02 15:02:59,"RT @BrianTylerMusic: Stay safe everyone ❤️! Here is a message I made for @FilmMusicMedia, go to their site to check out many more familiar…",Promilla sarkar,PromillaSarkar,,1256132271909699584,2,93,23,
1256600074999615491,2020-05-02 15:02:59,"RT @drjessigold: “For society to respond in ways commensurate w/the importance of [#COVID]we have to see it.For us to be transformed by it,…",(((Liz Ditz))),lizditz,"San Mateo County, California",4937061,9077,9616,115869,"Dyslexia consultant, autism advocate, and blogger. See https://t.co/QHGkBIKInd for autism advocacy. Pronouns: she/her"
1256600073988796417,2020-05-02 15:02:58,"RT @PKMAUS1: The Pandemic Kindness Movement provides access to curated resources in the domains of Maslow's hierarchy: basic needs, safety,…","Keith King, RN, MPH, CPSO",keetcanada,Treaty 6 Territory (Edmonton),33663023,2188,4508,12420,"Registered Public Health/Mental Health Nurse, Epidemiologist, Lecturer, PhD student & proud #2S #Métis Citizen (He,Him) - Views, opinions my own."
1256600069840621568,2020-05-02 15:02:57,"RT @Wyn1745: WOW! WTF? CDC #COVID19 Death Revision&gt; 37,308 as of May 1st, 2020. The whole Freaking #COVID thing is a Joke! They [Dems, #Chi…",MAGAUNITE2,UniteMaga2,,1255220799662960645,91,70,775,"WHERE WE GO ONE, WE GO ALL!!!"
